,avg_star
1704,4.3
1705,4.3
1706,4.3
1707,4.2
1708,4.2
1709,4.3
1710,4.4
1711,4.4
1712,4.3
1713,4.3
1714,3.9
1715,4.4
1716,4.3
1717,3.9
1718,4.3
1719,4.4
1720,3.3
1721,3.9
1722,4.3
1723,4.3
1724,4.3
1725,4.3
1726,3
1727,3.6
1728,4.3
1729,3
1730,4.4
1731,3.3
1732,3.9
1733,3
1734,4.4
1735,4.7
1736,4.2
1737,4.2
1738,4.4
1739,4.3
1740,4.3
1741,4.3
1742,4.3
1743,3
1744,4.1
1745,4.4
1746,4.2
1747,4.4
1748,4.4
1749,3.6
1750,4.4
1751,4.3
1752,4.3
1753,4.4
1754,4.4
1755,4.4
1756,4.4
1757,4.6
1758,4.2
1759,4.4
1760,4.3
1761,4.2
1762,4.1
1763,4.4
1764,4.1
1765,4.2
1766,4.3
1767,4.3
1768,4.2
1769,4.4
1770,3.2
1771,4.2
1772,4.4
1773,4.2
1774,3.6
1775,3.3
1776,3
1777,4.3
1778,4.3
1779,3.6
1780,3.3
1781,3
1782,4.3
1783,4.3
1784,4.4
1785,4.4
1786,4.2
1787,3.3
1788,4.2
1789,4.3
1790,4.2
1791,3.3
1792,4.4
1793,4.2
1794,3.3
1795,4.2
1796,4.4
1797,4.1
1798,3.6
1799,4.5
1800,4.3
1801,3.3
1802,3.9
1803,4.4
1804,4.3
1805,3.3
1806,3.6
1807,3.6
1808,3.6
1809,4.3
1810,4.2
1811,3.9
1812,4.7
1813,3.9
1814,4.2
1815,4.3
1816,4.4
1817,4.2
1818,4.3
1819,4.4
1820,4.4
1821,4.4
1822,4.2
1823,4.3
1824,4.4
1825,4.3
1826,4.5
1827,3.9
1828,4.3
1829,4.3
1830,4.4
1831,4.2
1832,4.3
1833,3
1834,4.4
1835,4.2
1836,4.2
1837,3.3
1838,4.2
1839,4.4
1840,4.4
1841,4.2
1842,4.4
1843,4.2
1844,4.4
1845,4.3
1846,4.3
1847,4.3
1848,4.3
1849,4.3
1850,4.3
1851,4.4
1852,4.4
1853,4.4
1854,4.3
1855,4.1
1856,4.4
1857,3.9
1858,4.3
1859,4.3
1860,4.3
1861,4.3
1862,3.9
1863,4.3
1864,4.2
1865,4.2
1866,3.8
1867,4.2
1868,4.2
1869,4.3
1870,4.2
1871,3.2
1872,3.3
1873,4.3
1874,4.3
1875,4.4
1876,4.4
1877,4.4
1878,4.2
1879,3.3
1880,3.9
1881,4.4
1882,3
1883,4.3
1884,3.8
1885,4.4
1886,3.3
1887,4.6
1888,3.8
1889,3.3
1890,4.3
1891,4.2
1892,3.9
1893,4.4
1894,4.4
1895,3.3
1896,4
1897,4.3
1898,4.4
1899,3.6
1900,4.4
1901,4.4
1902,4.2
1903,4.2
1904,4.3
1905,4.3
1906,4.3
1907,4.4
1908,4.2
1909,3.9
1910,4.5
1911,4.3
1912,4.2
1913,4.3
1914,3.2
1915,4.6
1916,4.3
1917,4.2
1918,3.6
1919,4.4
1920,4.4
1921,4.5
1922,3.2
1923,4.4
1924,3.3
1925,4.3
1926,4.2
1927,4.3
1928,4.4
1929,4.4
1930,4.4
1931,4.4
1932,3.6
1933,4.3
1934,4.4
1935,4.4
1936,3.3
1937,3
1938,4.2
1939,4.2
1940,4.4
1941,4.3
1942,3.9
1943,4.3
1944,4.1
1945,4.4
1946,3
1947,4.3
1948,4.1
1949,4.3
1950,4.1
1951,4.4
1952,3.3
1953,4.1
1954,4.5
1955,4.4
1956,4.5
1957,4.4
1958,4.3
1959,4
1960,4.3
1961,4.3
1962,4.3
1963,3.9
1964,4.5
1965,4.4
1966,4.4
1967,4
1968,4.4
1969,4.2
1970,4.4
1971,3.9
1972,3
1973,4.1
1974,4.3
1975,4.4
1976,3.3
1977,4.4
1978,3.8
1979,4.2
1980,4.6
1981,3.9
1982,4.6
1983,4.4
1984,4.3
1985,4.4
1986,4.4
1987,4.3
1988,4.2
1989,4.3
1990,4.4
1991,4.3
1992,4.3
1993,4.4
1994,3
1995,4.2
1996,4.4
1997,3.3
1998,3.2
1999,4.3
2000,4.2
2001,3.9
2002,4.4
2003,4.3
2004,3.9
2005,4.3
2006,3.9
2007,4.3
2008,4.4
2009,4.4
2010,4.4
2011,3.2
2012,4.4
2013,4.3
2014,3.6
2015,4.4
2016,3.9
2017,4.4
2018,4.3
2019,3.3
2020,4.7
2021,3.6
2022,4.3
2023,3.8
2024,4.3
2025,4.3
2026,4.3
2027,4.4
2028,4.2
2029,4.4
2030,3.3
2031,4.4
2032,4.3
2033,4.3
2034,4.1
2035,4.4
2036,3.3
2037,4.1
2038,4.3
2039,3.3
2040,4.3
2041,4.4
2042,4.1
2043,4.4
2044,4.2
2045,4.1
2046,3.9
2047,3.9
2048,4.3
2049,4.3
2050,4.3
2051,4.2
2052,4.3
2053,4.4
2054,4.1
2055,3.6
2056,4.6
2057,4.3
2058,4
2059,4.3
2060,4.3
2061,4.3
2062,4.4
2063,3
2064,3.3
2065,4.3
2066,4.3
2067,4.4
2068,4.4
2069,4.4
2070,4.4
2071,4.3
2072,3.3
2073,3.6
2074,4.3
2075,4.5
2076,4.4
2077,4.2
2078,4.3
2079,4.3
2080,4.4
2081,4.4
2082,4.3
2083,4.3
2084,4.3
2085,3
2086,3.3
2087,4.4
2088,3
2089,4.4
2090,4.4
2091,3.2
2092,4.3
2093,4.4
2094,4.6
2095,4.4
2096,4.1
2097,4.4
2098,4.1
2099,4.4
2100,4.2
2101,4.6
2102,4.2
2103,4.3
2104,4.3
2105,3.6
2106,3.8
2107,4.5
2108,4.2
2109,4.4
2110,4.4
2111,3.3
2112,3.2
2113,4.3
2114,4.3
2115,3.3
